2019-09-11 12:12:21  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | My Order List is  [] 
2019-09-11 12:12:21  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-11 12:12:21  | Spawn Trader  dongwkim-trader1 
2019-09-11 12:12:21  | Current Trader is dongwkim-trader1
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:05:05  | TEST  | Price: p:307.7/b:307.6/a:308.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,744  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.2/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.7/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.2/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.7/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.8/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.2/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.0/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.0/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:23:24  | TEST  | Price: p:308.0/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,954  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:02  | TEST  | Price: p:308.6/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   1(0.2%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:216,375  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.2%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.2%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.2%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.2%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.6/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.1/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.2/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   1(0.4%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.4/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.5/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:308.3/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
2019-09-11 12:30:42  | TEST  | Price: p:309.1/b:307.9/a:309.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.2%)/   0(0.0%) Avg:  308/ 309 | deal (0) | bal:216,725  
